image_path,full_path,exists,image_source,gt_answers,fake_cls,ai_score,hum_score,predicted_label
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_0.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_0.png,True,Fakeddit,Fake,visual_veracity_distortion,1.8e-05,0.999982,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_1.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_1.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000621,0.999379,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_2.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_2.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000114,0.999886,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_3.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_3.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999826,0.000174,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_4.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_4.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000211,0.999789,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_5.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_5.png,True,Fakeddit,Fake,visual_veracity_distortion,0.00068,0.99932,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_6.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_6.png,True,Fakeddit,Fake,visual_veracity_distortion,0.998549,0.001451,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_7.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_7.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999752,0.000248,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_8.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_8.png,True,Fakeddit,Fake,visual_veracity_distortion,0.134235,0.865765,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_9.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_9.png,True,Fakeddit,Fake,visual_veracity_distortion,0.001518,0.998482,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_10.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_10.png,True,Fakeddit,Fake,visual_veracity_distortion,6.8e-05,0.999932,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_11.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_11.png,True,Fakeddit,Fake,visual_veracity_distortion,0.002696,0.997304,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_12.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_12.png,True,Fakeddit,Fake,visual_veracity_distortion,0.010702,0.989298,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_13.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_13.png,True,Fakeddit,Fake,visual_veracity_distortion,1.5e-05,0.999985,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_14.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_14.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000458,0.999542,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_15.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_15.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999985,1.5e-05,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_16.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_16.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000639,0.999361,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_17.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_17.png,True,Fakeddit,Fake,visual_veracity_distortion,0.001489,0.998511,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_18.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_18.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999646,0.000354,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_19.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_19.png,True,Fakeddit,Fake,visual_veracity_distortion,7e-06,0.999993,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_20.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_20.png,True,Fakeddit,Fake,visual_veracity_distortion,0.001444,0.998556,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_21.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_21.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999984,1.6e-05,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_22.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_22.png,True,Fakeddit,Fake,visual_veracity_distortion,0.001902,0.998098,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_23.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_23.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999773,0.000227,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_24.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_24.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000154,0.999846,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_25.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_25.png,True,Fakeddit,Fake,visual_veracity_distortion,7e-06,0.999993,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_26.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_26.png,True,Fakeddit,Fake,visual_veracity_distortion,0.005923,0.994077,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_27.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_27.png,True,Fakeddit,Fake,visual_veracity_distortion,1.1e-05,0.99999,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_28.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_28.png,True,Fakeddit,Fake,visual_veracity_distortion,0.00158,0.99842,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_29.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_29.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999537,0.000463,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_30.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_30.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999334,0.000666,ai
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_31.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_31.png,True,Fakeddit,Fake,visual_veracity_distortion,0.000142,0.999858,hum
/fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_32.png,D:\Pics Can Lie\dataset\MMFakeBench\MMFakeBench_val\fake/Fakeddit_photo_edit_val_50/Fakeddit_photo_edit_val_32.png,True,Fakeddit,Fake,visual_veracity_distortion,0.999303,0.000697,ai
